,measurement rate,finded,initial state,simulation time,total jumps,total measurements,transition rate
0,0.5,1.0,0.0,487.33382016961406,33.0,221.0,0.1
1,0.5,1.0,0.0,249.73651675502308,21.0,108.0,0.1
2,0.5,1.0,0.0,131.6825349233587,9.0,46.0,0.1
3,0.5,1.0,0.0,126.64817207711408,10.0,73.0,0.1
4,0.5,1.0,0.0,81.46903473049487,4.0,44.0,0.1
5,0.5,1.0,0.0,159.99420853287418,10.0,78.0,0.1
6,0.5,1.0,0.0,164.78839976593324,17.0,91.0,0.1
7,0.5,1.0,0.0,326.92309594579416,25.0,156.0,0.1
8,0.5,1.0,0.0,60.29414454286916,6.0,20.0,0.1
9,0.5,1.0,0.0,68.66909787665534,10.0,24.0,0.1
10,0.5,1.0,0.0,92.80510087863604,4.0,54.0,0.1
11,0.5,1.0,0.0,174.7714867566134,15.0,86.0,0.1
12,0.5,1.0,0.0,32.58230173188525,6.0,13.0,0.1
13,0.5,1.0,0.0,140.7224687504081,10.0,80.0,0.1
14,0.5,1.0,0.0,322.1216987460043,26.0,154.0,0.1
15,0.5,1.0,0.0,116.40420139506212,6.0,43.0,0.1
16,0.5,1.0,0.0,46.106325560637096,4.0,23.0,0.1
17,0.5,1.0,0.0,80.83729974924222,7.0,36.0,0.1
18,0.5,1.0,0.0,372.76524877760176,26.0,216.0,0.1
19,0.5,1.0,0.0,240.3641004164304,21.0,119.0,0.1
20,0.5,1.0,0.0,189.736087757442,10.0,100.0,0.1
21,0.5,1.0,0.0,160.91933509294492,12.0,80.0,0.1
22,0.5,1.0,0.0,206.34607178562527,19.0,115.0,0.1
23,0.5,1.0,0.0,32.42823474660078,4.0,15.0,0.1
24,0.5,1.0,0.0,595.3849060173667,47.0,298.0,0.1
25,0.5,1.0,0.0,200.1756951886404,17.0,105.0,0.1
26,0.5,1.0,0.0,434.7170724493665,30.0,230.0,0.1
27,0.5,1.0,0.0,159.94220784980538,14.0,81.0,0.1
28,0.5,1.0,0.0,51.222574626395904,2.0,27.0,0.1
29,0.5,1.0,0.0,202.75117458022976,18.0,101.0,0.1
30,0.5,1.0,0.0,63.39045970214053,3.0,31.0,0.1
31,0.5,1.0,0.0,69.88905317615337,6.0,33.0,0.1
32,0.5,1.0,0.0,229.31885813823,14.0,111.0,0.1
33,0.5,1.0,0.0,675.7311228337802,44.0,326.0,0.1
34,0.5,1.0,0.0,176.26829216384712,9.0,109.0,0.1
