,initial state,transition rate,measurement rate,simulation time,total measurements,total jumps,finded
0,0.0,0.1,0.5,320.29168387918764,168.0,22.0,1.0
1,0.0,0.1,0.5,371.4362486534179,189.0,27.0,1.0
2,0.0,0.1,0.5,77.45988632081419,40.0,8.0,1.0
3,0.0,0.1,0.5,54.640061452220394,32.0,4.0,1.0
4,0.0,0.1,0.5,150.93701243501158,84.0,8.0,1.0
5,0.0,0.1,0.5,71.6421022178281,52.0,6.0,1.0
6,0.0,0.1,0.5,49.54925298811783,35.0,3.0,1.0
7,0.0,0.1,0.5,448.52051991760834,216.0,39.0,1.0
8,0.0,0.1,0.5,51.95800568695578,34.0,4.0,1.0
9,0.0,0.1,0.5,168.87603440284158,69.0,14.0,1.0
10,0.0,0.1,0.5,219.31802578951684,99.0,13.0,1.0
11,0.0,0.1,0.5,175.95677834487523,84.0,12.0,1.0
12,0.0,0.1,0.5,317.08365454105245,153.0,23.0,1.0
13,0.0,0.1,0.5,50.66995298628325,21.0,3.0,1.0
14,0.0,0.1,0.5,31.05911045467042,10.0,3.0,1.0
15,0.0,0.1,0.5,94.52758949047286,45.0,6.0,1.0
16,0.0,0.1,0.5,280.67526144915587,155.0,21.0,1.0
17,0.0,0.1,0.5,40.888912223900114,14.0,7.0,1.0
18,0.0,0.1,0.5,642.2406352435835,324.0,43.0,1.0
19,0.0,0.1,0.5,140.68943061185004,75.0,14.0,1.0
20,0.0,0.1,0.5,76.08303210106644,37.0,7.0,1.0
21,0.0,0.1,0.5,66.40184534666245,45.0,4.0,1.0
22,0.0,0.1,0.5,163.07554352986983,90.0,13.0,1.0
23,0.0,0.1,0.5,102.63450888505037,47.0,6.0,1.0
24,0.0,0.1,0.5,296.446244348185,155.0,23.0,1.0
25,0.0,0.1,0.5,1302.4457905388422,625.0,95.0,1.0
26,0.0,0.1,0.5,102.20239160781807,60.0,10.0,1.0
27,0.0,0.1,0.5,77.27156656407237,34.0,6.0,1.0
28,0.0,0.1,0.5,283.4187014814136,135.0,22.0,1.0
29,0.0,0.1,0.5,68.86645914922713,38.0,6.0,1.0
30,0.0,0.1,0.5,62.631491076776605,34.0,4.0,1.0
31,0.0,0.1,0.5,96.13286866998354,53.0,9.0,1.0
32,0.0,0.1,0.5,120.33483517654402,58.0,6.0,1.0
33,0.0,0.1,0.5,199.0040009331514,107.0,15.0,1.0
34,0.0,0.1,0.5,39.29807152248791,23.0,3.0,1.0
35,0.0,0.1,0.5,11.825440907368701,5.0,2.0,1.0
36,0.0,0.1,0.5,181.65921966910796,102.0,15.0,1.0
37,0.0,0.1,0.5,93.13924573842988,35.0,10.0,1.0
38,0.0,0.1,0.5,325.2599219839979,174.0,18.0,1.0
39,0.0,0.1,0.5,211.0648715989148,124.0,22.0,1.0
40,0.0,0.1,0.5,44.303720527381316,22.0,3.0,1.0
41,0.0,0.1,0.5,100.59601610497754,55.0,9.0,1.0
42,0.0,0.1,0.5,150.40582981523812,73.0,9.0,1.0
43,0.0,0.1,0.5,130.779442883599,81.0,8.0,1.0
44,0.0,0.1,0.5,93.14413370912074,44.0,6.0,1.0
45,0.0,0.1,0.5,79.1930463164045,43.0,6.0,1.0
46,0.0,0.1,0.5,35.15865565205823,12.0,3.0,1.0
47,0.0,0.1,0.5,126.79190242245527,64.0,8.0,1.0
48,0.0,0.1,0.5,272.34114689376634,133.0,20.0,1.0
49,0.0,0.1,0.5,68.25940489255565,33.0,3.0,1.0
50,0.0,0.1,0.5,100.86681247002583,38.0,8.0,1.0
51,0.0,0.1,0.5,126.6047121910472,67.0,9.0,1.0
52,0.0,0.1,0.5,528.6388824505229,267.0,42.0,1.0
53,0.0,0.1,0.5,218.97511800621325,102.0,16.0,1.0
54,0.0,0.1,0.5,64.73244108530172,35.0,7.0,1.0
55,0.0,0.1,0.5,213.68734567455505,115.0,14.0,1.0
56,0.0,0.1,0.5,180.28479998537193,87.0,12.0,1.0
57,0.0,0.1,0.5,45.418481666271646,24.0,4.0,1.0
58,0.0,0.1,0.5,146.79383996373767,73.0,14.0,1.0
59,0.0,0.1,0.5,91.29118006975902,51.0,6.0,1.0
60,0.0,0.1,0.5,287.2499494464226,132.0,23.0,1.0
