,initial state,transition rate,measurement rate,simulation time,total measurements,total jumps,finded
0,0.0,0.1,0.5,64.6225839535298,28.0,2.0,1.0
1,0.0,0.1,0.5,7.609758349015087,1.0,1.0,1.0
2,0.0,0.1,0.5,28.20709263596962,14.0,2.0,1.0
3,0.0,0.1,0.5,24.771173440279505,23.0,2.0,1.0
4,0.0,0.1,0.5,590.8933285709704,283.0,2.0,1.0
5,0.0,0.1,0.5,15.996383236862577,10.0,2.0,1.0
6,0.0,0.1,0.5,149.81154104553923,70.0,2.0,1.0
7,0.0,0.1,0.5,464.9325130958201,218.0,2.0,1.0
8,0.0,0.1,0.5,69.16598853784326,31.0,2.0,1.0
9,0.0,0.1,0.5,60.61443369227581,42.0,2.0,1.0
10,0.0,0.1,0.5,17.07874861938413,7.0,2.0,1.0
11,0.0,0.1,0.5,489.39739559221664,260.0,2.0,1.0
12,0.0,0.1,0.5,26.96007812589812,7.0,2.0,1.0
13,0.0,0.1,0.5,15.501055478974312,3.0,2.0,1.0
14,0.0,0.1,0.5,18.241658962912673,10.0,2.0,1.0
15,0.0,0.1,0.5,309.1280108088069,161.0,2.0,1.0
16,0.0,0.1,0.5,28.450582509464276,24.0,2.0,1.0
17,0.0,0.1,0.5,51.92426670466016,27.0,2.0,1.0
18,0.0,0.1,0.5,37.694578003582954,19.0,2.0,1.0
19,0.0,0.1,0.5,202.69731352548203,110.0,2.0,1.0
20,0.0,0.1,0.5,138.75621785410658,75.0,2.0,1.0
21,0.0,0.1,0.5,67.56506998916375,30.0,2.0,1.0
22,0.0,0.1,0.5,75.1046591668523,34.0,2.0,1.0
23,0.0,0.1,0.5,103.529119407642,51.0,2.0,1.0
24,0.0,0.1,0.5,61.14654309446894,27.0,2.0,1.0
25,0.0,0.1,0.5,240.92268838187613,134.0,2.0,1.0
26,0.0,0.1,0.5,15.184480474262724,6.0,2.0,1.0
27,0.0,0.1,0.5,23.76061044245644,15.0,2.0,1.0
28,0.0,0.1,0.5,26.589889431661,10.0,2.0,1.0
29,0.0,0.1,0.5,72.95048385537362,33.0,2.0,1.0
30,0.0,0.1,0.5,24.308722892958897,11.0,2.0,1.0
31,0.0,0.1,0.5,23.98910324446829,7.0,2.0,1.0
32,0.0,0.1,0.5,23.318233069889647,13.0,2.0,1.0
33,0.0,0.1,0.5,104.81746692350653,46.0,2.0,1.0
34,0.0,0.1,0.5,92.25772810248901,41.0,2.0,1.0
35,0.0,0.1,0.5,64.18394850664212,34.0,2.0,1.0
36,0.0,0.1,0.5,24.24881923852325,11.0,2.0,1.0
37,0.0,0.1,0.5,336.5266838070511,168.0,2.0,1.0
38,0.0,0.1,0.5,206.37405983672065,98.0,2.0,1.0
39,0.0,0.1,0.5,147.8405671564215,62.0,2.0,1.0
40,0.0,0.1,0.5,92.65306596912939,37.0,2.0,1.0
41,0.0,0.1,0.5,15.905111578668112,6.0,2.0,1.0
42,0.0,0.1,0.5,23.431085909000334,9.0,2.0,1.0
43,0.0,0.1,0.5,24.188241054313345,9.0,2.0,1.0
44,0.0,0.1,0.5,154.69510279599098,74.0,2.0,1.0
45,0.0,0.1,0.5,20.583837646305334,10.0,2.0,1.0
46,0.0,0.1,0.5,26.39109365302004,15.0,2.0,1.0
47,0.0,0.1,0.5,118.69701179064934,59.0,2.0,1.0
48,0.0,0.1,0.5,427.45220814649207,202.0,2.0,1.0
49,0.0,0.1,0.5,201.8133825049429,111.0,2.0,1.0
50,0.0,0.1,0.5,64.3449284417566,20.0,2.0,1.0
51,0.0,0.1,0.5,152.68196288151623,62.0,2.0,1.0
52,0.0,0.1,0.5,21.388829054234698,8.0,2.0,1.0
53,0.0,0.1,0.5,306.1158033992535,135.0,2.0,1.0
54,0.0,0.1,0.5,239.95919737687976,115.0,2.0,1.0
55,0.0,0.1,0.5,60.939493458038754,45.0,2.0,1.0
56,0.0,0.1,0.5,22.62432615705799,10.0,2.0,1.0
57,0.0,0.1,0.5,19.120140229309253,9.0,2.0,1.0
58,0.0,0.1,0.5,80.9246093035023,51.0,2.0,1.0
59,0.0,0.1,0.5,245.79213438806207,125.0,2.0,1.0
60,0.0,0.1,0.5,108.80043528227863,54.0,2.0,1.0
61,0.0,0.1,0.5,41.256198720169024,25.0,2.0,1.0
62,0.0,0.1,0.5,73.40598323582437,31.0,2.0,1.0
63,0.0,0.1,0.5,45.256516712402146,22.0,2.0,1.0
64,0.0,0.1,0.5,15.850201667631023,6.0,2.0,1.0
65,0.0,0.1,0.5,78.92855035102595,32.0,2.0,1.0
66,0.0,0.1,0.5,1013.9806663486457,506.0,2.0,1.0
67,0.0,0.1,0.5,56.06048829483137,31.0,2.0,1.0
68,0.0,0.1,0.5,229.63951282470012,107.0,2.0,1.0
69,0.0,0.1,0.5,9.750928845132846,7.0,2.0,1.0
70,0.0,0.1,0.5,29.955493795783084,13.0,2.0,1.0
71,0.0,0.1,0.5,426.5873874482122,218.0,2.0,1.0
72,0.0,0.1,0.5,19.36863857621604,7.0,2.0,1.0
73,0.0,0.1,0.5,160.35850715928726,99.0,2.0,1.0
74,0.0,0.1,0.5,460.2757535335114,240.0,2.0,1.0
75,0.0,0.1,0.5,235.69160726638964,147.0,2.0,1.0
76,0.0,0.1,0.5,110.85836576115452,57.0,2.0,1.0
77,0.0,0.1,0.5,58.78929984972937,28.0,2.0,1.0
78,0.0,0.1,0.5,14.60015620228345,3.0,2.0,1.0
79,0.0,0.1,0.5,23.279228172092765,8.0,2.0,1.0
80,0.0,0.1,0.5,18.113709684610594,7.0,2.0,1.0
81,0.0,0.1,0.5,82.1218289963267,38.0,2.0,1.0
82,0.0,0.1,0.5,27.117903938558904,10.0,2.0,1.0
83,0.0,0.1,0.5,239.50451693401595,132.0,2.0,1.0
84,0.0,0.1,0.5,67.06300214450972,28.0,2.0,1.0
85,0.0,0.1,0.5,22.514760091288707,13.0,2.0,1.0
86,0.0,0.1,0.5,30.748036769223184,18.0,2.0,1.0
87,0.0,0.1,0.5,33.26353329653566,24.0,2.0,1.0
88,0.0,0.1,0.5,65.92196240123458,32.0,2.0,1.0
89,0.0,0.1,0.5,268.1482371296023,144.0,2.0,1.0
90,0.0,0.1,0.5,17.2567197626379,8.0,2.0,1.0
91,0.0,0.1,0.5,129.2796045831289,59.0,2.0,1.0
92,0.0,0.1,0.5,149.90225757112438,71.0,2.0,1.0
93,0.0,0.1,0.5,28.815675984892195,12.0,2.0,1.0
94,0.0,0.1,0.5,108.12041087014836,58.0,2.0,1.0
95,0.0,0.1,0.5,27.49300717025797,18.0,2.0,1.0
96,0.0,0.1,0.5,195.3630427606497,93.0,2.0,1.0
97,0.0,0.1,0.5,18.524523092223998,7.0,2.0,1.0
